"id","cat","subcat","maintenance","dwh_create_date"
"AC_BR","Accessories","Bike Racks","Yes","2025-02-21 22:26:45.782128"
"AC_BS","Accessories","Bike Stands","No","2025-02-21 22:26:45.782128"
"AC_BC","Accessories","Bottles and Cages","No","2025-02-21 22:26:45.782128"
"AC_CL","Accessories","Cleaners","Yes","2025-02-21 22:26:45.782128"
"AC_FE","Accessories","Fenders","No","2025-02-21 22:26:45.782128"
"AC_HE","Accessories","Helmets","Yes","2025-02-21 22:26:45.782128"
"AC_HP","Accessories","Hydration Packs","No","2025-02-21 22:26:45.782128"
"AC_LI","Accessories","Lights","Yes","2025-02-21 22:26:45.782128"
"AC_LO","Accessories","Locks","Yes","2025-02-21 22:26:45.782128"
"AC_PA","Accessories","Panniers","No","2025-02-21 22:26:45.782128"
"AC_PU","Accessories","Pumps","Yes","2025-02-21 22:26:45.782128"
"AC_TT","Accessories","Tires and Tubes","Yes","2025-02-21 22:26:45.782128"
"BI_MB","Bikes","Mountain Bikes","Yes","2025-02-21 22:26:45.782128"
"BI_RB","Bikes","Road Bikes","Yes","2025-02-21 22:26:45.782128"
"BI_TB","Bikes","Touring Bikes","Yes","2025-02-21 22:26:45.782128"
"CL_BS","Clothing","Bib-Shorts","No","2025-02-21 22:26:45.782128"
"CL_CA","Clothing","Caps","No","2025-02-21 22:26:45.782128"
"CL_GL","Clothing","Gloves","No","2025-02-21 22:26:45.782128"
"CL_JE","Clothing","Jerseys","No","2025-02-21 22:26:45.782128"
"CL_SH","Clothing","Shorts","No","2025-02-21 22:26:45.782128"
"CL_SO","Clothing","Socks","No","2025-02-21 22:26:45.782128"
"CL_TI","Clothing","Tights","No","2025-02-21 22:26:45.782128"
"CL_VE","Clothing","Vests","No","2025-02-21 22:26:45.782128"
"CO_BB","Components","Bottom Brackets","Yes","2025-02-21 22:26:45.782128"
"CO_BR","Components","Brakes","Yes","2025-02-21 22:26:45.782128"
"CO_CH","Components","Chains","Yes","2025-02-21 22:26:45.782128"
"CO_CS","Components","Cranksets","Yes","2025-02-21 22:26:45.782128"
"CO_DE","Components","Derailleurs","Yes","2025-02-21 22:26:45.782128"
"CO_FO","Components","Forks","Yes","2025-02-21 22:26:45.782128"
"CO_HB","Components","Handlebars","No","2025-02-21 22:26:45.782128"
"CO_HS","Components","Headsets","No","2025-02-21 22:26:45.782128"
"CO_MF","Components","Mountain Frames","Yes","2025-02-21 22:26:45.782128"
"CO_PD","Components","Pedals","No","2025-02-21 22:26:45.782128"
"CO_RF","Components","Road Frames","Yes","2025-02-21 22:26:45.782128"
"CO_SA","Components","Saddles","No","2025-02-21 22:26:45.782128"
"CO_TF","Components","Touring Frames","Yes","2025-02-21 22:26:45.782128"
"CO_WH","Components","Wheels","Yes","2025-02-21 22:26:45.782128"
"AC_BR","Accessories","Bike Racks","Yes","2025-02-26 12:14:02.425232"
"AC_BS","Accessories","Bike Stands","No","2025-02-26 12:14:02.425232"
"AC_BC","Accessories","Bottles and Cages","No","2025-02-26 12:14:02.425232"
"AC_CL","Accessories","Cleaners","Yes","2025-02-26 12:14:02.425232"
"AC_FE","Accessories","Fenders","No","2025-02-26 12:14:02.425232"
"AC_HE","Accessories","Helmets","Yes","2025-02-26 12:14:02.425232"
"AC_HP","Accessories","Hydration Packs","No","2025-02-26 12:14:02.425232"
"AC_LI","Accessories","Lights","Yes","2025-02-26 12:14:02.425232"
"AC_LO","Accessories","Locks","Yes","2025-02-26 12:14:02.425232"
"AC_PA","Accessories","Panniers","No","2025-02-26 12:14:02.425232"
"AC_PU","Accessories","Pumps","Yes","2025-02-26 12:14:02.425232"
"AC_TT","Accessories","Tires and Tubes","Yes","2025-02-26 12:14:02.425232"
"BI_MB","Bikes","Mountain Bikes","Yes","2025-02-26 12:14:02.425232"
"BI_RB","Bikes","Road Bikes","Yes","2025-02-26 12:14:02.425232"
"BI_TB","Bikes","Touring Bikes","Yes","2025-02-26 12:14:02.425232"
"CL_BS","Clothing","Bib-Shorts","No","2025-02-26 12:14:02.425232"
"CL_CA","Clothing","Caps","No","2025-02-26 12:14:02.425232"
"CL_GL","Clothing","Gloves","No","2025-02-26 12:14:02.425232"
"CL_JE","Clothing","Jerseys","No","2025-02-26 12:14:02.425232"
"CL_SH","Clothing","Shorts","No","2025-02-26 12:14:02.425232"
"CL_SO","Clothing","Socks","No","2025-02-26 12:14:02.425232"
"CL_TI","Clothing","Tights","No","2025-02-26 12:14:02.425232"
"CL_VE","Clothing","Vests","No","2025-02-26 12:14:02.425232"
"CO_BB","Components","Bottom Brackets","Yes","2025-02-26 12:14:02.425232"
"CO_BR","Components","Brakes","Yes","2025-02-26 12:14:02.425232"
"CO_CH","Components","Chains","Yes","2025-02-26 12:14:02.425232"
"CO_CS","Components","Cranksets","Yes","2025-02-26 12:14:02.425232"
"CO_DE","Components","Derailleurs","Yes","2025-02-26 12:14:02.425232"
"CO_FO","Components","Forks","Yes","2025-02-26 12:14:02.425232"
"CO_HB","Components","Handlebars","No","2025-02-26 12:14:02.425232"
"CO_HS","Components","Headsets","No","2025-02-26 12:14:02.425232"
"CO_MF","Components","Mountain Frames","Yes","2025-02-26 12:14:02.425232"
"CO_PD","Components","Pedals","No","2025-02-26 12:14:02.425232"
"CO_RF","Components","Road Frames","Yes","2025-02-26 12:14:02.425232"
"CO_SA","Components","Saddles","No","2025-02-26 12:14:02.425232"
"CO_TF","Components","Touring Frames","Yes","2025-02-26 12:14:02.425232"
"CO_WH","Components","Wheels","Yes","2025-02-26 12:14:02.425232"
